Fe,Si,Al,B,P,Cu,Ag,Au,V,Cr,Zr,Nb,Mo,W,Pr,Gd,Annealing temperature (K),Annealing Time (s),Primary Crystallization Onset (K),Primary Crystallization Peak (K),Secondary Crystallization Peak (K),Ribbon Thickness (um),Total SiCAl,Total BP,Total Late Transition,Total Early Transition,Relative to Fe SiCAl,Relative to Fe BP,Relative to Fe Early,Relative to Fe Late,Relative to Late Early,Relative to Early SiCAl,Relative to Late SiCAl,Relative to Early BP,Relative to Late BP,Late Weighted Volume,Late Weighted Area,Late Weighted Mass,Late Mean Electrons,Early Weighted Volume,Early Weighted Area,Early Weighted Mass,Early Mean Electrons,Delta T0,Delta T1,Delta T2,Grain Diameter,Composition ID,Reference DOI
71.5,13.5,2,9,0,1,0,0,0,0,0,3,0,0,0,0,793,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,9.637305699,1101100011,https://doi.org/10.1016/S0304-8853(00)00132-3
65.5,13.5,8,9,0,1,0,0,0,0,0,3,0,0,0,0,793,3600,,,,20,21.5,9,1,3,0.328244275,0.13740458,0.045801527,0.015267176,3,7.166666667,21.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,9.544041451,1101100011,https://doi.org/10.1016/S0304-8853(00)00132-3
68.5,13.5,5,9,0,1,0,0,0,0,0,3,0,0,0,0,793,3600,,,,20,18.5,9,1,3,0.270072993,0.131386861,0.04379562,0.01459854,3,6.166666667,18.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,10.32124352,1101100011,https://doi.org/10.1016/S0304-8853(00)00132-3
67,13.5,6.5,9,0,1,0,0,0,0,0,3,0,0,0,0,793,3600,,,,20,20,9,1,3,0.298507463,0.134328358,0.044776119,0.014925373,3,6.666666667,20,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,9.823834197,1101100011,https://doi.org/10.1016/S0304-8853(00)00132-3
71.5,13.5,2,9,0,1,0,0,0,0,0,0,3,0,0,0,873,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,46.0715893,12.85154859,95.95,6,,,,16.77435036,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,0,3,0,0,0,873,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,46.0715893,12.85154859,95.95,6,,,,19.04918033,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,873,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,49.10561067,13.40405838,94.428185,5.5,,,,14.06557377,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,873,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,49.10561067,13.40405838,94.428185,5.5,,,,10.3319155,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,873,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,11.04918033,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,0,3,0,0,0,833,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,46.0715893,12.85154859,95.95,6,,,,14.98360656,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
