Fe,Si,B,P,Cu,Ag,Zr,Nb,Annealing temperature (K),Annealing Time (s),Primary Crystallization Peak (K),Ribbon Thickness (um),Total SiCAl,Total BP,Total Early Transition,Relative to Fe SiCAl,Relative to Fe BP,Relative to Fe Early,Relative to Fe Late,Relative to Late Early,Relative to Early SiCAl,Relative to Late SiCAl,Relative to Early BP,Relative to Late BP,Late Weighted Volume,Late Weighted Area,Late Weighted Mass,Late Mean Electrons,Early Weighted Volume,Early Weighted Area,Early Weighted Mass,Early Mean Electrons,Delta T0,Delta T1,Delta T2,Electrical Resistivity,Composition ID,Reference DOI
73.5,16,6,0,1,0,0,3,848,3600,,20,16,6,3,0.217687075,0.081632653,0.040816327,0.013605442,3,5.333333333,16,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.76,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16.5,6,0,1,0,0,3,848,3600,,,16.5,6,3,0.224489796,0.081632653,0.040816327,0.013605442,3,5.5,16.5,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.76,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16,6,0,1,0,0,3,773,3600,,20,16,6,3,0.217687075,0.081632653,0.040816327,0.013605442,3,5.333333333,16,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.96,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16.5,6,0,1,0,0,3,773,3600,,,16.5,6,3,0.224489796,0.081632653,0.040816327,0.013605442,3,5.5,16.5,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.96,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16,6,0,1,0,0,3,823,3600,,20,16,6,3,0.217687075,0.081632653,0.040816327,0.013605442,3,5.333333333,16,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.72,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16.5,6,0,1,0,0,3,823,3600,,,16.5,6,3,0.224489796,0.081632653,0.040816327,0.013605442,3,5.5,16.5,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.72,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16,6,0,1,0,0,3,873,3600,,20,16,6,3,0.217687075,0.081632653,0.040816327,0.013605442,3,5.333333333,16,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.48,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16.5,6,0,1,0,0,3,873,3600,,,16.5,6,3,0.224489796,0.081632653,0.040816327,0.013605442,3,5.5,16.5,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.48,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16,6,0,1,0,0,3,728,3600,,20,16,6,3,0.217687075,0.081632653,0.040816327,0.013605442,3,5.333333333,16,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.84,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16.5,6,0,1,0,0,3,728,3600,,,16.5,6,3,0.224489796,0.081632653,0.040816327,0.013605442,3,5.5,16.5,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,1.84,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
