Fe,Si,C,B,Al,Ga,P,Ge,Cu,Ag,Au,Zn,Nb,Ta,Hf,V,W,Ti,Mo,Zr,,Tx1,Tx2,difference,,,,,,reference doi,,,,
81,4,0,10,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,,691,808,117,,,,,,https://www.nature.com/articles/s41598-018-19665-8,,,,
81,6,0,10,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,,693,809,116,,,,,,https://www.nature.com/articles/s41598-018-19665-8,,,,
81,8,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,690,801,111,,,,,,https://www.nature.com/articles/s41598-018-19665-8,,,,
73.5,13.5,0,9,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,,813,918,105,,,,,,https://doi.org/10.1002/pssa.201700074,,,,
73.5,13.5,0,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,,806,896,90,,,,,,https://doi.org/10.1002/pssa.201700074,,,,
73.5,13.5,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,,779,851,72,,,,,,https://doi.org/10.1002/pssa.201700074,,,,
85,2,0,8,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,,659,813,154,,,,,,https://doi.org/10.1016/j.jnoncrysol.2017.12.003,,,,
84,2,0,8,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,,668,836,168,,,,,,https://doi.org/10.1016/j.jnoncrysol.2017.12.003,,,,
83,2,0,8,0,0,4,0,1,0,0,0,0,0,0,0,0,0,2,0,,678,850,172,,,,,,https://doi.org/10.1016/j.jnoncrysol.2017.12.003,,,,
81.7,4,0,13,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,,695,799,104,,,,,,https://www.sciencedirect.com/science/article/pii/S0925838817321278,,,,
81.5,4,0,13,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,,672,798,126,,,,,,https://www.sciencedirect.com/science/article/pii/S0925838817321278,,,,
81.3,4,0,13,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,,639,795,156,,,,,,https://www.sciencedirect.com/science/article/pii/S0925838817321278,,,,
81,4,0,13,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,630,791,161,,,,,,https://www.sciencedirect.com/science/article/pii/S0925838817321278,,,,
75,13,0,8,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,,768,962,193,,,,,,https://link.springer.com/article/10.1007%2Fs11664-016-4643-x,,,,
76,13,0,8,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,,751,911,160,,,,,,https://link.springer.com/article/10.1007%2Fs11664-016-4643-x,,,,
77,13,0,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,725,852,127,,,,,,https://link.springer.com/article/10.1007%2Fs11664-016-4643-x,,,,
78,13,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,704,802,98,,,,,,https://link.springer.com/article/10.1007%2Fs11664-016-4643-x,,,,
83.47,3.89,0,7.88,0,0,4.04,0,0,0,0.71,0,0,0,0,0,0,0,0,0,,710,824,114,,,,,,https://www.sciencedirect.com/science/article/pii/S0925838816313470,,,,
84.32,3.87,0,7.59,0,0,4.16,0,0,0.05,0,0,0,0,0,0,0,0,0,0,,704,821,117,,,,,,https://www.sciencedirect.com/science/article/pii/S0925838816313470,,,,
83.44,3.89,0,7.92,0,0,4.06,0,0,0,0,0.69,0,0,0,0,0,0,0,0,,685,827,142,,,,,,https://www.sciencedirect.com/science/article/pii/S0925838816313470,,,,
73.5,17.5,0,5,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,,775,983,208,,,,,,https://www.sciencedirect.com/science/article/pii/S0022309314006759,,,,
73.3,17.5,0,5,0.2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,,776,988,212,,,,,,https://www.sciencedirect.com/science/article/pii/S0022309314006759,,,,
73.1,17.5,0,5,0.4,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,,770,990,220,,,,,,https://www.sciencedirect.com/science/article/pii/S0022309314006759,,,,
72.9,17.5,0,5,0.6,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,,765,993,228,,,,,,https://www.sciencedirect.com/science/article/pii/S0022309314006759,,,,
72.7,17.5,0,5,0.8,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,,764,993,229,,,,,,https://www.sciencedirect.com/science/article/pii/S0022309314006759,,,,
72.5,17.5,0,5,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,,760,994,234,,,,,,https://www.sciencedirect.com/science/article/pii/S0022309314006759,,,,
83.25,0,7,0,0,0,9,0,0.75,0,0,0,0,0,0,0,0,0,0,0,,683,740,57,,,,,,https://link.springer.com/article/10.1007%2Fs10854-015-2950-2,,,,
82.75,0,7,0,0,0,9,0,0.75,0,0,0,0.5,0,0,0,0,0,0,0,,640,749,109,,,,,,https://link.springer.com/article/10.1007%2Fs10854-015-2950-2,,,,
82.25,0,7,0,0,0,9,0,0.75,0,0,0,1,0,0,0,0,0,0,0,,631,751,119,,,,,,https://link.springer.com/article/10.1007%2Fs10854-015-2950-2,,,,
81.25,0,7,0,0,0,9,0,0.75,0,0,0,2,0,0,0,0,0,0,0,,597,760,164,,,,,,https://link.springer.com/article/10.1007%2Fs10854-015-2950-2,,,,
80.25,0,7,0,0,0,9,0,0.75,0,0,0,3,0,0,0,0,0,0,0,,616,760,144,,,,,,https://link.springer.com/article/10.1007%2Fs10854-015-2950-2,,,,
86,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,,775,993,218,,,,,,https://www.jstage.jst.go.jp/article/matertrans1989/32/6/32_6_551/_article/-char/ja/,,,,
82,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,,688,975,286,,,,,,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta,,,,
84,0,0,8,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,,688,1019,330,,,,,,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta,https://www.jstage.jst.go.jp/article/matertrans1989/32/10/32_10_961/_article/-char/ja/,,,
82,0,0,10,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,,720,1016,296,,,,,,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta,,,,
73.5,7.5,0,9,0,0,0,6,1,0,0,0,3,0,0,0,0,0,0,0,,766,958,192,,,,,,https://www.sciencedirect.com/science/article/pii/S0921452604009469?via%3Dihub,,,,
73.5,3.5,0,9,0,0,0,10,1,0,0,0,3,0,0,0,0,0,0,0,,721,940,218,,,,,,https://www.sciencedirect.com/science/article/pii/S0921452604009469?via%3Dihub,,,,
73.5,0,0,9,0,0,0,13.5,1,0,0,0,3,0,0,0,0,0,0,0,,705,937,232,,,,,,https://www.sciencedirect.com/science/article/pii/S0921452604009469?via%3Dihub,,,,
78,0,0,10,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,0,,786,846,60,,,,,,https://doi.org/10.1016/j.jallcom.2010.12.104,,,,
80.8,0,0,10,0,0,8,0,1.2,0,0,0,0,0,0,0,0,0,0,0,,709,782,73,,,,,,https://doi.org/10.1016/j.jallcom.2010.12.104,,,,
82.8,0,0,9,0,0,7,0,1.2,0,0,0,0,0,0,0,0,0,0,0,,686,789,103,,,,,,https://doi.org/10.1016/j.jallcom.2010.12.104,,,,
84.8,0,0,8,0,0,6,0,1.2,0,0,0,0,0,0,0,0,0,0,0,,663,796,133,,,,,,https://doi.org/10.1016/j.jallcom.2010.12.104,,,,
91,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,599,681,82,,,,,,https://doi.org/10.1016/S0921-5107(01)00934-5,,,,
88,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,696,773,77,,,,,,https://doi.org/10.1016/S0921-5107(01)00934-5,,,,
85,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,,727,797,70,,,,,,https://doi.org/10.1016/S0921-5107(01)00934-5,,,,
82,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,,753,815,62,,,,,,https://doi.org/10.1016/S0921-5107(01)00934-5,,,,
79,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,760,829,69,,,,,,https://doi.org/10.1016/S0921-5107(01)00934-5,,,,
77,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,,768,850,82,,,,,,https://doi.org/10.1016/S0921-5107(01)00934-5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
