Linear Regression,Neural Network,kNN,Random Forest,SVM,Tree,Magnetic Saturation,Composition ID,Reference DOI
0.777069092,0.69122705,0.471251775,0.518352268,0.843824923,0.410190962,0.420747109,1000100011,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta
1.088562012,0.82582815,0.714041895,0.693906291,1.073880891,0.732980828,0.672375228,1000100011,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta
1.286590576,1.057289065,1.034750964,0.954023181,1.272854057,0.913991175,1.02194157,1000100011,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta
1.176208496,0.895533448,0.718193345,0.753005403,1.16156492,0.686716373,0.676164029,1000100011,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta
1.111297607,0.902108263,0.757334145,0.78167728,1.097485998,0.732980828,0.793586427,1000100011,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta
1.26385498,1.017706396,0.904881822,0.827537266,1.249248949,0.686716373,0.697268716,1000100011,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta
1.351501465,1.147101999,1.223247616,1.133465554,1.336932979,1.197453845,0.99543518,1000100011,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta
1.198944092,0.965355603,0.758597078,0.880954287,1.185170028,0.913991175,0.806040779,1000100011,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta
1.724822998,1.531858658,1.583282613,1.558584846,1.711274203,1.508382804,1.556048387,1000100011,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta
1.702087402,1.507406823,1.482630858,1.539294617,1.687669096,1.508382804,1.469468959,1000100011,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta
1.439147949,1.247611585,1.223247616,1.268315717,1.424617008,1.382067864,1.289265064,1000100011,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta
1.614440918,1.419399486,1.482630858,1.49325124,1.599985067,1.508382804,1.422375228,1000100011,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta
0.952362061,0.970543456,1.097707446,1.188800993,1.019192981,1.197453845,1.211883749,1000100011,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta
1.390625,1.558596198,1.583097484,1.526801508,1.457613128,1.564831571,1.572816494,1000100011,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta
1.215332031,1.388265679,1.539087543,1.511562297,1.282245069,1.5717003,1.556580949,1000100011,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta
1.127655029,1.260656516,1.418776628,1.49081691,1.19456104,1.44406047,1.487865186,1000100011,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta
1.549530029,1.356954849,1.395503652,1.464294354,1.535906145,1.382067864,1.474870663,1000100011,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta
1.374237061,1.180825216,1.134139785,1.206031245,1.360538086,1.197453845,1.385042605,1000100011,http://iopscience.iop.org/article/10.1143/JJAP.30.L1729/meta
0.939880371,1.058793031,1.031586022,1.021053749,1.024856303,0.988243205,0.9,1100100011,http://phys.ipme.nw.ru/e-journals/RAMS/no_61808/pavlik.pdf
1.031860352,1.094046118,1.066666667,1.105459142,1.09879715,1.182736959,1.1,1100100011,http://phys.ipme.nw.ru/e-journals/RAMS/no_61808/pavlik.pdf
1.123840332,1.13978504,1.20719086,1.120411374,1.172737997,1.182736959,1.2,1100100011,http://phys.ipme.nw.ru/e-journals/RAMS/no_61808/pavlik.pdf
1.3800354,1.389493556,1.176867224,1.499669284,1.435957463,1.524742015,1.57716895,1000100011,https://aip.scitation.org/doi/abs/10.1063/1.359284
1.029449463,0.748569281,0.576255708,0.587479905,1.085221346,0.589948611,0.58173516,1000100011,https://aip.scitation.org/doi/abs/10.1063/1.359284
1.204742432,1.066034191,0.958599696,1.009334311,1.260589405,1.524742015,0.716894977,1000100011,https://aip.scitation.org/doi/abs/10.1063/1.359284
0.678863525,0.293746476,0.490158856,0.483822082,0.734485229,0.490158856,0.446575343,1000100011,https://aip.scitation.org/doi/abs/10.1063/1.359284
0.854156494,0.46772184,0.486149163,0.477058715,0.909853287,0.490158856,0.430136986,1000100011,https://aip.scitation.org/doi/abs/10.1063/1.359284
1.408081055,1.303303687,1.193333333,1.268458855,1.385309029,1.255468039,1.34,1100100011,https://doi.org/10.1002/pssa.201700074
1.358428955,1.227252576,1.301691093,1.23500024,1.363464605,1.255468039,1.20414586,1100100011,https://doi.org/10.1002/pssa.201700074
1.344696045,1.185746061,1.21497116,1.23500024,1.350655521,1.255468039,1.210019161,1100100011,https://doi.org/10.1002/pssa.201700074
1.330993652,1.189988088,1.243582819,1.23500024,1.337846437,1.255468039,1.230748458,1100100011,https://doi.org/10.1002/pssa.201700074
1.31729126,1.23018273,1.254113792,1.23500024,1.325037352,1.255468039,1.251592919,1100100011,https://doi.org/10.1002/pssa.201700074
1.37210083,1.244688683,1.273262454,1.23500024,1.364335371,1.255468039,1.28,1100100011,https://doi.org/10.1002/pssa.201700074
1.225616455,1.228633015,1.2475,1.215312061,1.248764971,1.167431409,1.26,1100100011,https://doi.org/10.1007/s11741-000-0017-x
1.137969971,1.17987678,1.123928986,1.176279312,1.161080941,1.167431409,1.25,1100100011,https://doi.org/10.1007/s11741-000-0017-x
1.800537109,1.635362644,1.680361116,1.701556463,1.827966419,1.712253003,1.724403954,1000110000,https://doi.org/10.1016/j.jallcom.2010.12.104
1.850372314,1.719458013,1.685942834,1.687345681,1.891333503,1.72209401,1.724302845,1000110010,https://doi.org/10.1016/j.jallcom.2010.12.104
1.839569092,1.911841835,1.770320248,1.747219634,1.822381662,1.753217801,1.770085271,1000110010,https://doi.org/10.1016/j.jallcom.2010.12.104
1.845214844,1.823181163,1.715300168,1.723850438,1.856857583,1.753217801,1.736350331,1000110010,https://doi.org/10.1016/j.jallcom.2010.12.104
1.756591797,1.607360221,1.637356468,1.600007153,1.784124405,1.593832725,1.596794219,1000110000,https://doi.org/10.1016/j.jallcom.2010.12.104
1.804962158,1.691633597,1.664029121,1.668159683,1.845737808,1.672986814,1.661351745,1000110010,https://doi.org/10.1016/j.jallcom.2010.12.104
1.795623779,1.863070908,1.770320248,1.754770027,1.778539648,1.769012913,1.761351038,1000110010,https://doi.org/10.1016/j.jallcom.2010.12.104
1.762969971,1.660254323,1.625308275,1.613583777,1.803649474,1.607286541,1.606432773,1000110010,https://doi.org/10.1016/j.jallcom.2010.12.104
1.663787842,1.712793832,1.776278824,1.723177946,1.647013604,1.776278824,1.769686492,1000110010,https://doi.org/10.1016/j.jallcom.2010.12.104
1.707733154,1.763140103,1.776278824,1.745678376,1.690855619,1.776278824,1.779625544,1000110010,https://doi.org/10.1016/j.jallcom.2010.12.104
1.751678467,1.813486374,1.773500339,1.752128493,1.734697633,1.776278824,1.779524436,1000110010,https://doi.org/10.1016/j.jallcom.2010.12.104
1.669921875,1.648761688,1.67560948,1.65508606,1.681489524,1.687120716,1.66326079,1000110010,https://doi.org/10.1016/j.jallcom.2010.12.104
1.719024658,1.626491223,1.593682476,1.61835586,1.759807459,1.607286541,1.608140308,1000110010,https://doi.org/10.1016/j.jallcom.2010.12.104
1.801269531,1.780363023,1.715300168,1.712297173,1.813015568,1.712253003,1.712355054,1000110010,https://doi.org/10.1016/j.jallcom.2010.12.104
1.7578125,1.730324525,1.691974235,1.676792192,1.769173553,1.687120716,1.697195119,1000110010,https://doi.org/10.1016/j.jallcom.2010.12.104
1.713867188,1.686722292,1.67560948,1.670342076,1.725331539,1.687120716,1.666372532,1000110010,https://doi.org/10.1016/j.jallcom.2010.12.104
1.712646484,1.573598603,1.594887295,1.592831515,1.74028239,1.593832725,1.590871231,1000110000,https://doi.org/10.1016/j.jallcom.2010.12.104
